date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Fri Feb 19 2021,Clearwater Seafoods Retail Store,"757 Bedford Hwy, Bedford",2:30 p.m.,5:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Tue Feb 16 2021,Sobeys,"612 Main St., Dartmouth",1:30 p.m.,3:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sun Feb 21 2021,Sobeys,"612 Main St., Dartmouth",4:00 p.m.,5:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Fri Feb 19 2021,Costco,"230 Chain Lake Drive, Halifax",2:30 p.m.,5:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Fri Feb 19 2021,Shoppers Drug Mart,"766 Sackville Dr, Lower Sackville",2:30 p.m.,5:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sat Feb 20 2021,Tan’s Family Restaurant,"900 Cole Harbour Road, Dartmouth",5:30 p.m.,6:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sun Feb 21 2021,Canadian Tire,"24 Forest Hills Parkway, Dartmouth",1:00 p.m.,2:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Mon Feb 22 2021,BMO Bank of Montreal,"111 Ilsley Ave, Dartmouth",10:00 a.m.,10:45 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Mon Feb 15 2021,Bedford Sackville Physiotherapy Clinic,"447 Sackville Dr, Lower Sackville",8:00 a.m.,4:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sat Feb 20 2021,Cora’s Restaurant,"1535 Dresden Row, Halifax,",11:00 a.m.,1:00 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sun Feb 21 2021,Porter’s Lake Pub,"5228 Highway 7 Lakeview Shopping Plaza, Porter's Lake",5:30 p.m.,7:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Mon Feb 22 2021,Montana’s,"101 Shubie Dr, Dartmouth",12:30 p.m.,2:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
Sat Feb 20 2021,**CORRECTION** 2 Doors Down Food & Wine *Restaurant side only*,"1533 Barrington St, Halifax",7:30 p.m.,10:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-11-locations-central-zone,"Sat, 27 Feb 2021 00:54:36 GMT"
