date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Mon Nov 15 2021,The Stubborn Goat Gastropub,"1579 Grafton St, Halifax",4:00 p.m.,6:00 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Mon Nov 15 2021,The Old Triangle Irish Alehouse,"5136 Prince St, Halifax",6:00 p.m.,9:00 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Wed Nov 17 2021,Head Shoppe Halifax Shopping Centre,"7001 Mumford Rd, Halifax",8:30 a.m.,4:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Fri Nov 19 2021,Head Shoppe Halifax Shopping Centre,"7001 Mumford Rd, Halifax",1:30 p.m.,9:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Wed Nov 17 2021,Garden Café,"5475 Clyde St, Halifax",3 p.m.,5:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Fri Nov 19 2021,Barrington Steakhouse,"1662 Barrington St, Halifax",7:30 p.m.,10:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Fri Nov 19 2021,Durty Nelly’s,"1645 Argyle St, Halifax",9:30 p.m.,12:30 a.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Fri Nov 19 2021,Halifax Alehouse,"1717 Brunswick St, Halifax",10:30 p.m.,close,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Fri Nov 19 2021,Kai Brady’s aka The Fickle Frog Pub,"5679 Spring Garden Rd, Halifax",10:30 p.m.,close,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Sat Nov 20 2021,Halifax Shopping Centre Food Court,"7001 Mumford Rd, Halifax",5:00 p.m.,6:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Sat Nov 20 2021,Cora Breakfast and Lunch aka Cora’s,"1535 Dresden Rd, Halifax",7:00 a.m.,10:30 a.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Sat Nov 20 2021,Boston Pizza,"1858 Granville St, Halifax",7:00 p.m.,10:30 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
Sat Nov 20 2021,Stillwell Freehouse,"2534 Agricola St, Halifax",9:00 p.m.,11:00 p.m.,https://www.nshealth.ca/news/nov23-covid-19-exposures-16-locations-across-halifax,"Fri, 27 Nov 2020 03:58:40 GMT"
