date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Mon Nov 15 2021,Darrell's Restaurant,"5576 Fenwick St, Halifax",2:00 p.m.,5:00 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Tue Nov 16 2021,The Keg Steakhouse + Bar - Halifax,"1712 Market St, Halifax",9:00 p.m.,close,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Tue Nov 16 2021,*corrected time* Stillwell,"1672 Barrington St, Halifax",9:00 p.m.,11:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Wed Nov 17 2021,Thai Express,"50 Foulis Row, Dartmouth",12:00 p.m.,1:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Wed Nov 17 2021,Station Six Food and Drink,"247 Herring Cove Rd, Halifax",6:30 p.m.,close,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,Hermitage,1460 Lower Water St,6:30 p.m.,9:00 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,Moxie's Grill & Bar,"9 Countryview Dr, Dartmouth",4:30 p.m.,7:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,Mezza Lebanese Kitchen,"16 Garland Ave, Dartmouth",12:00 p.m.,1:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,Gahan House,"5239 Sackville St, Halifax",5:30 p.m.,8:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Fri Nov 19 2021,Cora Breakfast and Lunch aka. “Cora’s”,"277 Lacewood Dr, Halifax",7:30 a.m.,10:00 a.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,Orange Theory Fitness,"6140 Young St, Unit 40, Halifax",6:30 a.m.,8:30 a.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Tue Nov 16 2021,Sobeys,"1120 Queen St, Halifax",12:30 p.m.,2:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Wed Nov 17 2021,Sobeys,"1120 Queen St, Halifax",12:30 p.m.,2:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Tue Nov 16 2021,Superstore,"650 Portland St, Dartmouth",11:00 a.m.,1:00 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Thu Nov 18 2021,*corrected time* Vitality MediSpa,"5424 Doyle St, Halifax",11:00 a.m.,2:00 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Fri Nov 19 2021,*corrected time* Vitality MediSpa,"5424 Doyle St, Halifax",9:00 a.m.,12:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Wed Nov 17 2021,Atlantic Superstore,"1075 Barrington St, Halifax",4:30 p.m.,5:30 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
Fri Nov 19 2021,Atlantic Superstore,"1075 Barrington St, Halifax",2:00 p.m.,3:00 p.m.,https://www.nshealth.ca/news/nova-scotia-health-public-health-advises-covid-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:28 GMT"
