date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Wed Nov 17 2021,Athen’s Restaurant,"6273 Quinpool Rd, Halifax",1:30 p.m.,4:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Fri Nov 19 2021,Truly Tasty Restaurant,"6210 Quinpool Rd, Halifax",5:30 p.m.,8:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,aFrite Restaurant,"1360 Lower Water St, Halifax",6:30 p.m.,9:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Tue Nov 16 2021,Goodlife Fitness Bedford Hemlock Square,"41 Peakview Way, Halifax",5:00 p.m.,6:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Tue Nov 16 2021,Lawton’s Drug Store Scotia Square,"5201 Duke St, Halifax",9:30 a.m.,12:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Wed Nov 17 2021,Sport Chek Halifax Shopping Centre,"7001 Mumford Rd, Halifax",12:00 p.m.,3:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Wed Nov 17 2021,Bath and Bodyworks Halifax Shopping Centre,"7001 Mumford Rd, Halifax",12:00 p.m.,3:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Wed Nov 17 2021,Fitness FX,"6330 Quinpool Rd, Halifax",9:30 a.m.,11:00 a.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Thu Nov 18 2021,Dollarama Scotia Square,"5201 Duke St, Halifax",4:45 p.m.,6:15 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,Scotia Square Mall Food Court,"5201 Duke St, Halifax",11:30 a.m.,1:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,Atlantic Superstore Barrington,"1075 Barrington St, Halifax",12:30 p.m.,2:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,Sobeys Clayton Park,"287 Lacewood Dr, Halifax",11:00 a.m.,12:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,Sobeys Windsor Street,"2651 Windsor St, Halifax",8:30 a.m.,9:30 a.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Sat Nov 20 2021,HaliMac Axe Throwing,"1920 Brunswick St, Halifax",4:30 p.m.,7:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Tue Nov 16 2021,Stillwell,"1672 Barrington St, Halifax",9:00 p.m.,11:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Thu Nov 18 2021,Vitality MediSpa,"5424 Doyle St, Halifax",11:00 a.m.,2:00 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
Fri Nov 19 2021,Vitality MediSpa,"5424 Doyle St, Halifax",9:00 a.m.,12:30 p.m.,https://www.nshealth.ca/news/nov22-covid-19-exposures-locations-across-halifax,"Fri, 27 Nov 2020 03:59:03 GMT"
