date,locale_name,locale_address,start_time,end_time,source_url,source_read_time
Fri Nov 19 2021,*Corrected time* Mary’s African Cuisine,"1701 Barrington St, Halifax",4:30 p.m.,7 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Fri Nov 19 2021,ROGUE Fitness,"6331 Lady Hammonds Rd, Halifax",6:45 p.m.,9 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Fri Nov 19 2021,RIO Pilates & Yoga Studio,"2470 Maynard St, Halifax",6:45 a.m.,9 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,RIO Pilates & Yoga Studio,"2470 Maynard St, Halifax",6:45 a.m.,9 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,Uncommon Grounds,"1030 South Park St, Halifax",1:30 p.m.,5:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,The Roxbury Urban Dive Bar,"1743 Grafton St, Halifax",9:30 p.m.,1 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,The Split Crow Pub,"1855 Granville Street, Halifax",4:30 p.m.,7 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,Mary’s Place Café II,"5982 Spring Garden Rd, Halifax",11:30 a.m.,1:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sat Nov 20 2021,Chop Steakhouse & Bar – Sutton Place Hotel,"1680 Grafton St, Halifax",8:30 p.m.,12 a.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Sun Nov 21 2021,Tony’s Famous Donair & Pizza,"2390 Robie St, Halifax",11:30 a.m.,2 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
Mon Nov 22 2021,The Stubborn Goat Gastropub,"1579 Grafton St, Halifax",12:30 p.m.,2:30 p.m.,https://www.nshealth.ca/news/potential-exposure-covid-19-locations-across-halifax,"Fri, 27 Nov 2020 03:58:15 GMT"
